created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 25 13:34:50 +0000 2024;1761746578505932997;"Pemungutan Suara Ulang (PSU) di #Surabaya dilakukan pada Sabtu (24/2). Di 2 TPS yang menjalani PSU, Capres dan Cawapres nomor urut 02 #PrabowoGibran tetap unggul.  *┼┼𝗔𝗔..┼┼𝗔𝗔..┼┼𝗔𝗔        *┼┼𝗔𝗔..    ✌😂／          //      ノ) sya..la..la. https://t.co/S2dLqF9MPX";0;0;0;0;in;893384580014657536;1761746578505932997;4_devout;https://twitter.com/4_devout/status/1761746578505932997
Sun Feb 25 13:33:02 +0000 2024;1761746125894410562;"Mau gimanapun Prabowo-Gibran akan selalu paling unggul. Karena masyarakat sudah mempercayai PrabowoGibran untuk memimpin Indonesia Maju.   Gibran Berani  #GemoySamsul  RCTI Nessie Chelsea #PrabowoGibran2024 https://t.co/Vb0iT8AKzN";0;0;0;1;in;1718882363302903808;1761746125894410562;Agustina1654960;https://twitter.com/Agustina1654960/status/1761746125894410562
Sun Feb 25 13:19:36 +0000 2024;1761742744945615109;"BuzzerRp: Ganjar di curangi, pencoblosan Ulang di lakukan hasilnya tetap sama Prabowo Gibran Menang telak 🥳  Gibran Melesat #PrabowoGibran @Alwizar69 @JJhonpres @Miduk17 @Hendros02 @AbdulMu59596970 @maximilan_angel @ales_arema @CaturRini40406 @MaliqRidwane https://t.co/1FhBfInqIm";0;1;2;7;in;1013331201396912128;1761742744945615109;cagubnyinyir2;https://twitter.com/cagubnyinyir2/status/1761742744945615109
Sun Feb 25 13:17:40 +0000 2024;1761742257160606169;"real count hasil pilpres2024 di total semua tps luar negeri pun sampai sekarang prabowogibran unggul hampir 60% . memangnya bansos dibagikan ke wni diluar negeri ? ada dana desa dan kepala desa diluar negeri ? makin keliatan argumen akademik kalian abal abal";0;0;0;0;in;1612187083;1761742257160606169;Diseminasi_Info;https://twitter.com/Diseminasi_Info/status/1761742257160606169
Sun Feb 25 12:59:18 +0000 2024;1761737635373219881;"ini contoh suara rakyat itu suara tuhan lalu kenapa kalian sampai sekarang ngeyel dan nyangkal kalau prabowogibran itu memang menang telak dengan selisih suara diatas 30%? berarti kalian gak percaya tuhan walau beragama itu aseli dungu 5 dimensi";0;0;0;0;in;1612187083;1761737635373219881;Diseminasi_Info;https://twitter.com/Diseminasi_Info/status/1761737635373219881
Sun Feb 25 12:59:00 +0000 2024;1761737558994620726;"Partai Golkar NTT Deklarasikan Jonas Salean Maju Cawalkot Kupang 2024 #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/B8dg7jGDtx";0;0;0;0;in;721898354502930433;1761737558994620726;golkarpedia;https://twitter.com/golkarpedia/status/1761737558994620726
Sun Feb 25 12:18:35 +0000 2024;1761727389607035076;"Segenap Kader Muda Partai Golkar dan Redaksi Golkarpedia Mengucapkan:   Selamat HUT Ke-71 Gandung Pardiman Ketua DPD I Partai Golkar DIY  25 Februari 1953 - 2024 Doa Terbaik Dari Kami Semoga Sehat Selalu  #partaigolkar #golkarprabowo #prabowogibran #golkarpedia #sayapilihgolkar https://t.co/hMcdCUXiE0";0;0;5;6;in;721898354502930433;1761727389607035076;golkarpedia;https://twitter.com/golkarpedia/status/1761727389607035076
Sun Feb 25 12:00:02 +0000 2024;1761722722202321241;"Real Count KPU: Partai Golkar Raih 15,13 Persen, Setara 103 Kursi DPR RI #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/uFveCj8R1q https://t.co/Xcf9hLjt1t";0;0;0;1;in;1563769423248642048;1761722722202321241;GolkarSolid;https://twitter.com/GolkarSolid/status/1761722722202321241
Sun Feb 25 11:59:00 +0000 2024;1761722459324321892;"Disebut Masuk Kabinet Prabowo-Gibran, Melki Laka Lena: Jika Ada Pilihan, Saya Pilih DPR RI #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/2Ex4uRZJL1";0;0;5;5;in;721898354502930433;1761722459324321892;golkarpedia;https://twitter.com/golkarpedia/status/1761722459324321892
Sun Feb 25 11:49:55 +0000 2024;1761720174774989196;"Pernyataan Dari Dr. (H.C.) K.H. Yahya Cholil Staquf, Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Tentang pemilu damai yg telah berjalan.  #PrabowoGibran https://t.co/nR8PJEcYFs";0;0;3;4;in;1664149346403885058;1761720174774989196;th_sitie;https://twitter.com/th_sitie/status/1761720174774989196
Sun Feb 25 11:45:37 +0000 2024;1761719093852586055;"Syukuran kecil kecilan kemenangan Capres #PrabowoGibran   Bagi kalian mungkin program makan bergizi tinggi dan susu gratis sangat sepele tetapi bagi anak2 yatim dan anak2 kurang mampu program ini adalah anugerah 🤲🙏  Masih tegakah kalian menghina? 😭  #JagaNKRI #AwasProvokator https://t.co/AEoFzLjv0W";1;3;7;30;in;1189039138835554304;1761719093852586055;BANGSAygSUJUD;https://twitter.com/BANGSAygSUJUD/status/1761719093852586055
Sun Feb 25 11:35:03 +0000 2024;1761716432885436852;"Kasin katanya di curang, hingga pencoblosan Ulang di lakukan hasilnya tetap sama Prabowo Gibran Menang telak 🥳  Gibran Melesat #PrabowoGibran https://t.co/6paYN1fyAF";0;0;3;3;in;1664149346403885058;1761716432885436852;th_sitie;https://twitter.com/th_sitie/status/1761716432885436852
Sun Feb 25 11:30:00 +0000 2024;1761715161813893330;"Ini 8 Sosok Yang Diprediksi Melenggang Ke Senayan Wakili Partai Golkar Dari Sumut #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/PwH2KG1kjQ";0;0;6;6;in;721898354502930433;1761715161813893330;golkarpedia;https://twitter.com/golkarpedia/status/1761715161813893330
Sun Feb 25 11:16:09 +0000 2024;1761711676750241834;"@yfdaazz @BH4RATA_JA jabatan 6 bulan akan dilanjutkan jabatan lainnya stlh PrabowoGibran dilantik. ratapi ajaaa gembel politik yg ktnya membawa perubahan 🤣😅😅😅";0;1;0;0;in;1606313787782758401;1761642776347947375;nanath27;https://twitter.com/nanath27/status/1761711676750241834
Sun Feb 25 11:12:33 +0000 2024;1761710773183934563;"@Miduk17 kocak ajaa nyinyirin paslon 2.. paslon 2 menang, tp mungkin dirimu lupa paslon 2 blm dilantik utk presiden,wakil presiden... tunggu aja setelah pelantikan PrabowoGibran akan lngsung bekerja utk rakyat dan negeri ini 😁😀😎";0;0;0;0;in;1606313787782758401;1761680957810327776;nanath27;https://twitter.com/nanath27/status/1761710773183934563
Sun Feb 25 11:04:02 +0000 2024;1761708626820120582;"Cucukakek89 Menyediakan Banyak Bonus.  Bonus New Member 100%  #AnieSpace #DukungHakAngket #Akbar #Banser #Suki #Nessie #Cowo2 #LoveStory #Akbar #Donatella #Azula #malamminggu #PrabowoGibran #PrabowoGibran2024 #ganjar https://t.co/J1Len4kVMZ";0;0;0;0;in;1723982033184321536;1761708626820120582;rexnow387663;https://twitter.com/rexnow387663/status/1761708626820120582
Sun Feb 25 10:59:00 +0000 2024;1761707359918014919;"MQ Iswara: Partai Golkar Beri Kebebasan Ridwan Kamil Maju Pilgub DKI Jakarta Atau Jabar #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/FsI3QTfU6z";0;0;5;5;in;721898354502930433;1761707359918014919;golkarpedia;https://twitter.com/golkarpedia/status/1761707359918014919
Sun Feb 25 10:30:00 +0000 2024;1761700061803937819;"Ahmad Doli Kurnia: Hak Angket Bukan Mekanisme Resmi Tangani Sengketa Pemilu #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/8vnASTQzwM";0;0;6;6;in;721898354502930433;1761700061803937819;golkarpedia;https://twitter.com/golkarpedia/status/1761700061803937819
Sun Feb 25 10:29:42 +0000 2024;1761699988407750748;"Real count KPU Pilpres 2024: Prabowo-Gibran unggul 58,84%, disusul Anies-Muhaimin 24,33%, dan Ganjar-Mahfud 16,83%. Hasil resmi diumumkan 15-20 Maret 2024.   #prabowo #gibran #prabowogibran #surveikpu #rpgm https://t.co/RoSWlBQgzC";0;1;1;2;in;1272038588721410048;1761699988407750748;prabowogibran02;https://twitter.com/prabowogibran02/status/1761699988407750748
Sun Feb 25 10:25:12 +0000 2024;1761698855467495474;"Pesan Ketua Koordinator Strategis TKN Prabowo Gibran Prof Dr. Ir. H. Sufmi Dasco Ahmad @bang_dasco untuk melangkah bersama Indonesia maju, bersatu, kompak demi mencapai Indonesia emas 2045. https://t.co/oUJQes8QqY";0;3;11;34;in;1723938002685296640;1761698855467495474;prabowogibran2;https://twitter.com/prabowogibran2/status/1761698855467495474
Sun Feb 25 10:10:19 +0000 2024;1761695110293790901;"@WidasSatyo ya beginila kualitas manusia mayoritas pendukung prabowogibran, zero logic emang cokk";0;0;0;0;in;1337478762380681216;1761604475322839204;pugsedih;https://twitter.com/pugsedih/status/1761695110293790901
Sun Feb 25 10:03:37 +0000 2024;1761693424410046584;"Pertemuan kedua nya melibatkan si Bobby kucing kesayangan Pak #Prabowo2024 Bisa jadi membahas teknis Pelaksanaan Program Makan Gratis dan Susu untuk Anak Sekolah dan Wanita Hamil   Salam Dua Jari #PrabowoGibran  "Pertemuan antara Pak Prabowo dan Gibran sore ini membahas segala… https://t.co/jaWvro6liH";0;0;1;3;in;1121831857098641408;1761693424410046584;Alie_Fahnoor;https://twitter.com/Alie_Fahnoor/status/1761693424410046584
Sun Feb 25 09:59:00 +0000 2024;1761692260473680127;"Jadi Lumbung Suara di Era Orde Baru dan Reformasi, Partai Golkar Kini Juara 2 di Sulsel, Apa Sebabnya? #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/Afu8JGsp2N";0;0;1;1;in;721898354502930433;1761692260473680127;golkarpedia;https://twitter.com/golkarpedia/status/1761692260473680127
Sun Feb 25 09:30:18 +0000 2024;1761685039019122904;"Rahasiakan obrolan dengan Prabowo, Gibran becanda: Yang Tahu Cuma Laila dan Pasha  #prabowogibran #prabowo #gibran #indonesiamaju #lailapasha #bobby #bobbythecat #kertanegara #rkb #rumahkeluargabersama https://t.co/qlyYfDbFvT";0;0;0;0;in;1698999000068947968;1761685039019122904;rkbfor08;https://twitter.com/rkbfor08/status/1761685039019122904
Sun Feb 25 08:59:00 +0000 2024;1761677161138983408;"Rohidin Mersyah Dorong Produk Unggulan Bengkulu Terdaftar Indikasi Geografis #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/SyXor67NU0";0;0;0;0;in;721898354502930433;1761677161138983408;golkarpedia;https://twitter.com/golkarpedia/status/1761677161138983408
Sun Feb 25 08:58:28 +0000 2024;1761677028728967322;"Kalau diulang 5 atau 10 tahun lagi anak2 yg hari ini belum punya hak pilih saya yakin 90% all in #PrabowoGibran";0;1;1;2;in;1575711525011980288;1761677028728967322;NurFachrurrahim;https://twitter.com/NurFachrurrahim/status/1761677028728967322
Sun Feb 25 08:44:49 +0000 2024;1761673590884512195;"Disebut Masuk Kabinet Prabowo-Gibran, Melki Laka Lena: Jika Ada Pilihan, Saya Pilih DPR RI #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/GFKaENmzbv";0;0;2;0;in;1563779411304140801;1761673590884512195;GolkarToday;https://twitter.com/GolkarToday/status/1761673590884512195
Sun Feb 25 08:44:45 +0000 2024;1761673574061121656;"Buat pendukung Wowo,.jangan Sedih,.kalo Harga Beras Naik,.Listrik akan Naik.dan kebutuhan Pokoknya akan Naik,. Tenang Saja nanti akan ada Hero dari Jokowi lewat PrabowoGibran,. Ya kan @Dahnilanzar  #MakzulkanJokowi https://t.co/ETPBXWAsjX";0;0;0;0;in;1645463649329508353;1761673574061121656;DiwandaD;https://twitter.com/DiwandaD/status/1761673574061121656
Sun Feb 25 08:44:35 +0000 2024;1761673533451841794;"Partai Golkar NTT Deklarasikan Jonas Salean Maju Cawalkot Kupang 2024  #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/xCjJVqV33K";0;0;0;0;in;1563779411304140801;1761673533451841794;GolkarToday;https://twitter.com/GolkarToday/status/1761673533451841794
Sun Feb 25 08:30:00 +0000 2024;1761669863062605914;"Partai Golkar NTT Deklarasikan Jonas Salean Maju Cawalkot Kupang 2024 #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/6JjuY1wamE https://t.co/D23npmNiqG";0;0;2;0;in;1563769423248642048;1761669863062605914;GolkarSolid;https://twitter.com/GolkarSolid/status/1761669863062605914
Sun Feb 25 08:05:40 +0000 2024;1761663740981002738;"Orang-orang PrabowoGibran ini Pada Kebakaran Jenggot,.dan Panik! Salah Satunya @Dahnilanzar ini,. Bilang orang lain Provokatif,.tapi mereka gak sadar sudah melakukan provokatif lewat Framing Kemenangan,.darimana bisa tahu kalian Menang,.sedangkan KPU masih terus Bekerja,. #Nalar";0;0;0;0;in;1645463649329508353;1761663740981002738;DiwandaD;https://twitter.com/DiwandaD/status/1761663740981002738
Sun Feb 25 07:59:00 +0000 2024;1761662061455516086;"Sosok Anne Ratna Mustika: Dari Mojang Purwakarta Hingga Jadi Politisi Berpengaruh #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/pRkywIdKea";0;0;1;0;in;721898354502930433;1761662061455516086;golkarpedia;https://twitter.com/golkarpedia/status/1761662061455516086
