tweet_id,content,author
Sat Feb 24 13:21:33 +0000 2024,Panglima CS 08 Jateng: Kemenangan Prabowo-Gibran di Jateng Adalah Kemenangan Rakyat https://t.co/svofwZqVns,Suara_Pantau
Sat Feb 24 13:20:55 +0000 2024,"@putra_sumbari @H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Bener bang, tapi kebanyakan orang nyebutnya itu, walaupun PraGib kemarin dipilih langsung sama rakyat dan menang telak di angka. Cuma yaa gimana ya, kok pada minta ulang, dikira petugas ",Blue_Git
Sat Feb 24 13:20:14 +0000 2024,"@H4T14K4LN4L42 @mrF_senada @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Yg haru dibasmi dan di podari ya si kodari ini,tgl 5 sdh di umumkan https://t.co/cSUdKigGfP",se_raden997370
Sat Feb 24 13:20:05 +0000 2024,Pasien baru pak Purnomo ðŸ˜‚ https://t.co/fgWn4EiuZL,prabowogibran02
Sat Feb 24 13:18:41 +0000 2024,@Dennysiregar7 Terimakasih atas jasa jasa anda yg membukakan mata rakyat bahwa prabowo gibran ikhlas kepada rakyat Indonesia https://t.co/CvxR2itiPN,tommyaj58529441
Sat Feb 24 13:18:36 +0000 2024,"Pak @prabowo @gibran_tweet jangan lupa bulanan adinda @TeddGus yaa  Kasihan dia, udah jilat mati matian. Kalaupun partainya nyungsep paling tidak dia bisa bertahan hidup dari Bansos  Tolong yaa diperhatikan.. Plisss ðŸ™ðŸ™",Partai_Slebew
Sat Feb 24 13:18:23 +0000 2024,@gen_gibran Masyarakat sudah sangat percaya kepada prabowogibran untuk melanjutkan program pak jokowi ðŸ˜,MomonesMomon
Sat Feb 24 13:18:12 +0000 2024,"Kemenangan Prabowo Gibran membawa dampak positif di Pasar Modal, khususnya di PT PP yang mengalami kenaikan signifikan di IHSG. Dukungan terhadap program yang diwarisi dari era Pak Jokowi juga turut menyumbang keuntungan.   #prabowo #gibran #prabowogibran #maulidanisbar #rpgm https://t.co/754JI3p8UF",prabowogibran02
Sat Feb 24 13:18:11 +0000 2024,"@TeddGus @ganjarpranowo @aniesbaswedan Pak @prabowo @gibran_tweet jangan lupa bulanan adinda @TeddGus yaa  Kasihan dia, udah jilat mati matian. Kalaupun partainya nyungsep paling tidak dia bisa bertahan hidup dari Bansos  Tolong yaa diperhatikan..",Partai_Slebew
Sat Feb 24 13:18:03 +0000 2024,Mungkin sebenarnya mau ngemis biar diajak ke kabinetnya Prabowo Gibran aja.........,wongmlaku
Sat Feb 24 13:17:08 +0000 2024,@bengkeldodo @prabowo @gibran_tweet Mas wali @gibran_tweet          menghadap pak Prabowo  Senyumim saja merekaÂ² ya pak @prabowo https://t.co/PjufefaGRL,NoviBudi78
Sat Feb 24 13:17:03 +0000 2024,@ZahwaDot @H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Sebatas tolol aja argumentasi lu?,Blue_Git
Sat Feb 24 13:16:27 +0000 2024,"@Chavesz08 Yaaa deh iyaaa, semua soal bantu membantu cuma pak prabowo dan pak gibran dibantu juga sama presiden juga pamannya yg di MK, pak anies gak pernah bantu siapa-siapa.",nofexbhrslm
