tweet_id,isi,author,content
Sat Feb 24 13:21:33 +0000 2024,Panglima CS 08 Jateng: Kemenangan Prabowo-Gibran di Jateng Adalah Kemenangan Rakyat https://t.co/svofwZqVns,Suara_Pantau,Commander of CS 08 Central Java: Prabowo-gibran's victory in Central Java is the people's victory https://t.co/svofwzqvvns
Sat Feb 24 13:20:55 +0000 2024,"@putra_sumbari @H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet Bener bang, tapi kebanyakan orang nyebutnya itu, walaupun PraGib kemarin dipilih langsung sama rakyat dan menang telak di angka. Cuma yaa gimana ya, kok pada minta ulang, dikira petugas ",Blue_Git,"@putra_sumbari @h4t14k4ln4l42 @jokowi @psi_id @prabowo @gibran_tweet is really bang, but most people call it, even though yesterday was directly elected by the people and won a landslide victory. Just what do I do, how come I ask for a request, it is mistaken for the officer"
Sat Feb 24 13:20:14 +0000 2024,"@H4T14K4LN4L42 @mrF_senada @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Yg haru dibasmi dan di podari ya si kodari ini,tgl 5 sdh di umumkan https://t.co/cSUdKigGfP",se_raden997370,"@H4t14k4ln4l42 @mrf_senada @anisbaswedan @cakiminow @prabowo @jokowi @gibran_tweet @Ganjarpranowo @mohmahfudmd that is eradicated and podari yes the Kodari,"
Sat Feb 24 13:20:05 +0000 2024,Pasien baru pak Purnomo ðŸ˜‚ https://t.co/fgWn4EiuZL,prabowogibran02,"Pak Purnomo's New Patient ð ""https://t.co/fgwn4eiuzl"
Sat Feb 24 13:18:41 +0000 2024,@Dennysiregar7 Terimakasih atas jasa jasa anda yg membukakan mata rakyat bahwa prabowo gibran ikhlas kepada rakyat Indonesia https://t.co/CvxR2itiPN,tommyaj58529441,@Dennysiregar7 Thank you for your services that open the people's eyes that Prabowo Gibran is sincere to the people of Indonesia https://t.co/cvxr2itipn
Sat Feb 24 13:18:36 +0000 2024,"Pak @prabowo @gibran_tweet jangan lupa bulanan adinda @TeddGus yaa  Kasihan dia, udah jilat mati matian. Kalaupun partainya nyungsep paling tidak dia bisa bertahan hidup dari Bansos  Tolong yaa diperhatikan.. Plisss ðŸ™_x008f_ðŸ™_x008f_",Partai_Slebew,"Pak @prabowo @gibran_tweet don't forget the monthly adinda @teddgus yaa pity her, already licking dead. Even if his party is at least he can survive from Social Assistance, please pay attention ... Plisss ð ™ ð ™"
Sat Feb 24 13:18:23 +0000 2024,@gen_gibran Masyarakat sudah sangat percaya kepada prabowogibran untuk melanjutkan program pak jokowi ðŸ˜_x008d_,MomonesMomon,@gen_gibran The community already believes in Prabowogibran to continue the program Mr. Jokowi ð
Sat Feb 24 13:18:12 +0000 2024,"Kemenangan Prabowo Gibran membawa dampak positif di Pasar Modal, khususnya di PT PP yang mengalami kenaikan signifikan di IHSG. Dukungan terhadap program yang diwarisi dari era Pak Jokowi juga turut menyumbang keuntungan.   #prabowo #gibran #prabowogibran #maulidanisbar #rpgm https://t.co/754JI3p8UF",prabowogibran02,"Prabowo Gibran's victory had a positive impact on the capital market, especially in PT PP which experienced a significant increase at the CSPI. Support for the program inherited from the era of Pak Jokowi also contributed profits. #prabowo #gibran #prabowogibran #maulidanisbar #rpgm https://t.co/754ji3p8uf"
Sat Feb 24 13:18:11 +0000 2024,"@TeddGus @ganjarpranowo @aniesbaswedan Pak @prabowo @gibran_tweet jangan lupa bulanan adinda @TeddGus yaa  Kasihan dia, udah jilat mati matian. Kalaupun partainya nyungsep paling tidak dia bisa bertahan hidup dari Bansos  Tolong yaa diperhatikan..",Partai_Slebew,"@Teddgus @ganjarpranowo @aniesbaswedan sir @prabowo @gibran_tweet don't forget the monthly adinda @teddgus, sorry for him, already licking dead. Even if his party is at least he can survive from social assistance, please pay attention .."
Sat Feb 24 13:18:03 +0000 2024,Mungkin sebenarnya mau ngemis biar diajak ke kabinetnya Prabowo Gibran aja.........,wongmlaku,Maybe actually want to beg to be invited to Prabowo Gibran's cabinet ...
